Text_Generated,Language_Code,Model_Identifier,Label
"Usuku Lomhlaba Lwabahlengi kazi, oluzoba mhla ziyi-12 ku Nhlaba, luyithuba elihle kakhulu lokuthi sibungaze abahlengikazi ngokusebenza ngokuzikhandla ukusiza abanye abantu bakithi.
Umhlengikazi oqeqeshiwe uLuyanda Ganuganu (oneminya ka engama-25), osebenzela Esi bhedlela i-Groote Schuur esi seNtshonalanga Kapa, uthi lolu suku luzoba yithuba labahlengi -kazi lokuthi baqhubekele pha mbili nokuba yisibani emkha kheni womsebenzi wabo.
“Kuphinde futhi kube yithuba lokuthi abahlengikazi bakhu njulwe, kodwa kumele futhi siqhu beke nokuhlinzeka ukunakekela  okusezingeni eliyilo, ikakhu lukazi ngalesi sikhathi sobhu bhane,” kusho yena.",zu,human,0
"Abafundi balokhu bebhekene ne zinselele eziningi ngenxa yeSifo segciwane le-Corona  ( i COVID-19)  kanye nemikhawulo yoku valwa kwezwe.
Selokhu kukhona uguquko olwenzeka njalo endimeni yezokufunda ezikoleni zase Ningizimu Afrika, lokho okungashiya abafundi bezizwa benexhala kanye nokwesaba.
Abafundi kufanele ukuthi babhekane nomhlaba o m u s h a  w o k u f u n d a nge-inthanethi noma uku bambezeleka ekufundeni, ukuzihlukanisa kwabanye abantu, ukulahlekelwa, usizi nokuhlukumezeka, konke okungadala ixhala nokukhathazeka okukhulu.
Umeluleki ngokwengqondo uBoitumelo Tlhapane, osebenzela uPhiko Lwezemfundo Ebandakanyayo i-I nclusive Education Unit kuMnyango Wezemfundo eFreyistata, uthi ukuzizwa unexhala noma ukhathazekile ngalezi zikha thi ezinzima kuyaqondakala.",zu,human,0
"Laba balimi abangama-30 bathole amatayitela obuni kazi balo mhlaba kuMonga meli u-Cyril Ramaphosa emva kokuba UMnyango Wezemisebenzi Kahulu meni kanye neNgqalasizinda unikezele ngalo mhlaba ngenhloso yokuwaba kabu sha.
Lo mhlaba ubiza isamba semali esingaphezulu kwe zigidi ezingama-25.5 zama randi kodwa unikezelwe kulaba balimi mahhala.
“Lolu ngusuku oluhle ka khulu impela kumphakathi wase-Tafelkop, kubantu base-Limpopo, futhi ngo kunjalo kubo bonke abantu baseNingizimu Afrika.
“Namhlanje singofakazi bokufezwa kwephupho lalo mphakathi. Kungumbono walo mphakathi osekuphele iminyaka engama-25 be lwela ukuwubona ufezeka,” kusho uMongameli emci mbini wokunikezelwa kwa lo mhlaba.
Laba balimi bebelima ngempumelelo imikhiqizo yezolimo ehlukahlukene kulo mhlaba kusukela ngo nyaka we-1996.",zu,human,0
"Isomiso siyisikhathi eside lapho izimvula ziyivela kancane, okwenza kuntuleke amanzi.
Ngokusho kukaDkt Mathieu Roualt, ongusolwazi eNyuvesi yaseKapa eMnyangweni Wezi fundo Eziphathelene Nolwandle i-Oceanography, uthi okuyiyona mbangela yesomiso wumthelela we-El Niño nokuguquguquka kwesimo sezulu.
“I-El Niño yisikhathi esizifike la ngokwemvelo njalo emva kweminyaka emithathu kuya kwemihlanu, futhi singaqhube ka kuze kuphele iminyaka emi bili. Sinyusa amazinga okushisa nokubanda olwandle i-Pacific ne-Indian, okuyinto engadala isomiso,” ngokusho kwakhe.",zu,human,0
"Isikhungo lesi sakhiwa inhlangano yezokuthuthukisa ebizwa nge-Impande South Africa ngokwesekwa yi-Nelson Mandela Fou ndation.Ngahlabeka umxhwele ngokuzinikela kwabasebenzi balesi sikhungo ekwesekeni umphakathi nabantwana. Bangi tshele ukuthi ezikhathini zokuqalwa kwesikhungo, abasebenzi kwakunzima ukuthi bakhokhelwe kodwa nomakunjalo babelokhu beza emsebenzini. Baphinde bangi tshela ukuthi noma ngabe imindeni ayikwazi ukukho-khela umntwana ama-R20, abantwana abajikiswa.Ukuzinikela kwabasebenzi besikhungo se-ECD kubalulekile ngoba izi khungo zokuthuthukiswa kwabantwana zidlala indima ebalulekile eku thuthukisweni kwesizwe sakithi. Lezi zikhungo ziyatholakala kuzo zonke izigodi, amadolobha kanye namadolobhakazi ezweni lonke.",zu,human,0
"Lokhu kugcizelelwe nguMongameli u-Cyril Ramaphosa eNkulumweni yakhe Echaza Ngesimo Sezwe yangowezi-2022.
“Lo msebenzi uzokwakhela phezu kwesisekelo soHlelo Lokwakhiwa Kabusha kanye Nokuvuselelwa Komnotho, olulokhu luwuhlelo olujwayelekile lokwakhiwa kabusha komnotho,” kusho yena.
UMongameli uthe uhulumeni ukubeka eqhulwini ukunqoba Isifo sobhubhane lwegciwane leCorona (iCOVID-19), ukwakhiwa kwengqalasizinda, ukwenyuswa komkhiqizo walapha ekhaya, ukwakhiwa kwamathuba omsebenzi kanye nokubhekana nezinkinga zokuntuleka kwamandla kagesi awenele.",zu,human,0
"Umbiko, ohlanganisa nekota yokugcina yowezi-2017, ukhombisa inqubekela phambili ngokuphathelene nenani la-baboshiwe, uphenyo kanye nabazingela bese beshushu mbisa izimpondo zobhejane asebegwetshiwe kanye nokwe-hla kancane kwesibalo sobhe-jane abazingelwa kuzwelonke ngowezi-2017 (1028), uma kuqhathaniswa nowezi-2016 (1054).
Ngowezi-2017 kwaba khona ukwemukwa kwezimpondo zobhejane okuyisishiyagalo mbili Esikhumulweni Sezindiza i-OR Tambo International futhi kwaboshwa abangama-502 abasolwa ngokuzingela obhe jane nabayi-16 abasolwa ngo kushushumbisa izimpondo zobhejane, nokwaholela eku-theni isibalo sibe ngama-518, sehla sisuka kuma-680 ngowe-zi-2016.
“Kuyadumaza ukuthi, abasebenzi bethu abangama-21 baboshelwa ukuzibandaka nya nokuzingelwa kobhejane ngowezi-2017,” kusho uNgqongqoshe uMolewa.",zu,human,0
"Central Application Clearing House, ebizwa ngokuthi yi-CACH, umzamo wesikhashana woMnyango Wemfundo Ephakeme Nokuqeqesha yasungulwa uMnyango Wemfundo Ephakeme Nokuqeqesha ukuze isize abafundi abafuna izikhala zokufunda ezikhungweni zemfundo ephakeme abafisa ukungena oHlelweni LweMfundo Elandela
Ukuqeda Isikole Nokuqeqeshwa (i-PSET) kodwa kungenzeka ukuthi ibhekene nesimo lapho:
Befake isicelo kusenesikhathi ezikhungweni zemfundo abazikhethile kodwa izicelo zabo zachithwa, manje osekuphele isikhathi sokubhalisa kwesinye isikhungo.
Labo abazoba ngabafundi abangasifakanga isicelo ngoba bengakwazanga ukuthola imiphumela edingekayo kuBanga
le-11 ukuze babhalise kodwa bathole ukuthi imiphumela yabo yeBanga le-12 iyahlangabezana nalokho okudingekayo ukuze babhalise.",zu,human,0
"Ngokusho koMnyango We-zempilo waseNtshonalanga Kapa, ukushisa kwasehlobo kuza nobungozi bokuphelelwa ngamanzi emzimbeni, lokho okungaba nobungozi bokulahlekelwa ngamanzi emzimbeni.Ukuphelelwa ngamanzi emzimbeni kujwayele ukudalwa ukungaphuzi okusaketshezi ngokwa-nele ukuze ubuyisele amanzi asuke ephume uma uju-luka. Kungenzeka kudalwe ukugula, okwenza ukuthi uhlanze futhi/noma ukhishwe isisu; kanye nokuthi ujuluke ngenxa yemfiva.Umzimba awulahlekelwa uketshezi uma usebenza ngo-kukhandla umzimba kuphe-la, kodwa kungenzeka uma uhamba nje, wenza umsebenzi wasengadini noma ugibela ibhayisikili, ikakhu-lukazi ezimweni lapho kushisa noma kunomswakama.Uma usuphelelwe nga-manzi emzimbeni, umzimba wakho awube usasebenza ngendlela ejwayelekile.",zu,human,0
"Ngokwe-DWS kube nokuntuleka kwezimvula futhi kwehla nezinga lamanzi emadamini.
Lokhu sekwenze iziphathi mandla zibeke izinyathelo eziqi nile ukunweba isikhathi sokufika kosuku lokuntuleka kwamanzi, lapho amathangi azobe omile.
IDolobha laseKapa liqala imikhawulo yezinga u-6B. Lokhu kuchaza ukuthi kuzoba nomkhawulo wansuku zonke wamalitha amanzi angama-50 noma  angaphansi kumuntu ngamunye, osekhaya, emsebenzini, esikoleni noma kwenye indawo.
Njengoba idolobha ligxile emizamweni yokulwisana nosuku lokuntuleka kwamanzi, lithe lidinga ukulungiselela isimo lapho lizokwazi ukulawula uhlelo lwedolobha lokuthunyelwa kwamanzi ukuze kuze kufike ubusika.
“Sizokuvala ukuthunyelwa kwamanzi kompompi uma amadamu ethu efika ezingeni elingu-13.5%.",zu,human,0
"I-Surfers Not Street Chi ldren iyinhlangano ehli nzeka ngezifundo zamahha la zokuhuhuluza emaga gasini ezinganeni ezihlala emgaqweni kanye nentsha eswele ehlala khona enka beni yedolobha.
Inhlangano iwumzamo ngqo wokubhekana nokwa nda kwezingane ezingena makhaya futhi uqinisekisa ukuthi intsha yenza okuthi le okuhle ngezimpilo zayo.
UMasipala weTheku usa nda kweseka le nhlangano ngokunikela ngamabhodi okuhuhuluza emagagasini ayi-10.
Amabhodi akhelwe izi nhloso zokuthuthuka fu thi akhiwe ngegwebu futhi asiza abahuhuluzi abasa yizimfundamakhwela uku ba bakwazi ukuntanta phe zu kwamanzi.
Imenenja yomnyango we zokuthuthukiswa kweze midlalo nezokungcebeleka kumasipala u-Teddi Adams uthe amabhodi lawa azosi za abahuhuluzi abasafu fusa.",zu,human,0
"“Aninodwa kulokho,” kusho ungcweti we-zokusebenza kwengqondo emphakathini uZanele Ludziya waseSibhedlela  i-Stikland esiseNtshonalanga Kapa.Ukushonelwa ngomthandayo akukaze kwaba yinto elula futhi kungavusa imiz-wa ehlukahlukene.“Ziningi izimpawu ongazibheka nje uma othandi-weyo ezilile, kodwa futhi nokungabonisi zinkomba kakuchazi ukuthi umuntu akazilile.“Abantu bengatshengisa izimpawu zokuthukuthela, ukucasuka, ukudabukisa noma ukungabi nandaba. Indlela yokusebenza  komqondo yabo nayo ingaphazamiseka, njengoba umqondo wabo kungenzeka ukuthi usaphuphuma imicabango kanye nenkumbulo yalowo oshonile.",zu,human,0
"I-CACH iyinsiza yezobuchwepheshe kahulumeni ephethwe nguMnyango Wezemfundo Ephakeme kanye Nokuqeqeshwa (i-DHET). Lolu hlelo lusiza labo bafundi abafuna intuba yokuthola izikhala zokungena enyuvesi, emakolishi Ezemfundo kanye Nokuqeqeshwa Kwezobuchwepheshe Bemisebenzi Yezandla (ama-TVET) kanye namathuba okuthuthukiswa kwamakhono.  “Izinsiza ze-CACH bezilokhu zivuliwe kusuka mhla zingama-24 kuMasingana 2022, futhi zizovalwa mhla zingama-31 kuNdasa ukuze zisize labo bafundi abafuna ukungena ezikhungweni zemfundo ephakeme kodwa babhekene nezinkinga zokuthola izikhala zokufunda,” kusho uNgqongqoshe Wezemfundo Ephakeme kanye Nokuqeqeshwa u-Dkt Blade Nzimande.",zu,human,0
"Baningi abasebenzi aba lahlekelwe imalingeniso njengoba isikhathi sabo sokusebenza sancishiswa kanti iningi labo ladilizwa emsebenzini. Amabhizinisi amaningi alahlekelwa ka khulu ngenxa yokusebe nzela emuva. Kanti amanye kwadingeka ukuthi avalwe. Abantu abasebenza emikha kheni engahlelekile nabo bakhahlamezeka kakhulu. Kodwa okunzima kunakho konke nje, lolu bhubhane seluthathe izimpilo zabantu abondlayo emakhaya amaningi, lwabashiya benga bantulayo futhi baphila ngo kwesaba uma becabanga ngekusasa.Yingakho izinyathelo zosizo esazibeka zazibalulekile futhi zaziphuthuma kakhulu.",zu,human,0
"Niyethulelwa  WuPhiko likaHulumeni Kwezokuxhumana Nokudluliswa Kolwazi (i-GCIS) English/isiZulu Niyethulelwa  WuPhiko likaHulumeni Kwezokuxhumana Nokudluliswa Kolwazi (i-GCIS) English/isiZuluALSO AVAILABLE ON:IPHEPHANDABA LAMAHHALA, ALITHENGISW AIwebhusayithi: www.gcis.gov.zawww.vukuzenzele.gov.zaUkuze ufunde iVuk’uzenzele thola i-GOVAPP ku:Bheka uSA Government ku Google playstore noma ku-appstoreVuk'uzenzele@VukuzenzeleNews UNGASITHINTA LAPHA Tshedimosetso House:  1035 cnr Frances Baard and Festival streets, Hatfield, Pretoria, 0083I-imeyili: vukuzenzele@gcis.gov.za
Ucingo:  (+27) 12 473 0103 Ncwaba 2022  Ushicilelo 1 Ncwaba 2022  Ushicilelo 1Ezempilo • Ezokuthuthukiswa Kwezindawo Zasemakhaya • Ezemisebenzi • Ezokuphepha Nokuvikeleka • EzemfundoIkhasi lesi-11Iqhubeka ekhasini lesi-2Ikhasi",zu,human,0
"I-Gauteng on the Move wu hlelo oluqeda ungabazane nokudideka okuhambisana nokusetshenziswa kwezithuthi zomphakathi, njengoba luni keza umphakathi imininingwa ne eqondile futhi esheshayo mayelana nezikhathi zokuha mba kwezithuthi zomphakathi kanye nezindleko ze-Gautrain, Metrobus, A Re Yeng, Rea Vaya, Metrorail, amabhasi e-Gautrain, amabhasi e-Johannesburg City Sightseeing, amabhasi kama sipala waseTshwane kanye namatekisi.
Ekhuluma ngesikhathi kwe thulwa lolu hlelo-kusebenza emahhovisi abasunguli balo e-Midrand, u-MEC wezoku Thutha e-Gauteng u-Ismail Vadi uthe umnyango uyasibona isidingo sezobuchwepheshe no hlelo oluphusile kwezokuthutha oluzobamba iqhaza ekuthuthu kisweni kohlelo lwezokuthutha.",zu,human,0
"Sasungula uhlelo loku siza abantu ngomse benzi ngonyaka odlule ukuze kudalwe inqwaba yamathuba emisebenzi esikhathini esifishane kakhulu. Lokhu kwakubiza izindlela ezintsha nezinga masu amasha okusebenza ukuze kuqaliswe izinhlelo ngesivinini nangobungako obungakaze baba khona.
Inqubo yokuqashwa kwabantu  abaningi abanga sebenzi isebenzise izinkundla zobuchwepheshe ukufinyelela kubo bonke ababambiqhaza abafanele kile obekungafinyeleleka kubo. Isibonelo, abalimi abalimela ukuziphilisa bakwazi ukufaka isicelo soxhaso nge-USSD futhi bathola amavawusha athunyelwa komakhalekhukhwini babo.",zu,human,0
"hulumeni eNingizimu Afrika yonkana abakwazi ukwenza umsebenzi wabo wesikole ngenxa yohlelo lukahulumeni oluqinisekisa ukuthi izisu zabo zigcwele ukudla okunempilo.
UMnyango Wezemfundo Eyisisekelo (i-DBE), ngoku- sebenzisa uHlelo Lokuhli- nzeka Ngokudla Okune- mpilo Ezikoleni (i-NSNP), usebenze waze weqa umgo- mo wawo wokuhlinzeka ngokudla kubafundi bakule- li abangama-75%.
Umqondisi we-NSNP kulo
mnyango, uNeo Rakwena, uthe izikole eziyizi-20 619 zipheka futhi ziphakele abafundi abalinganiselwa kuzi-9 032 622 ezweni nsu- ku zonke.
Uthe izikole ezingabanda- kanywanga ohlelweni ku- mele ziqonde emahhovisi esifunda uma zifuna ukuba yingxenye yohlelo.
Onyakeni wezimali wezi- 2015/16, isabelomali esabe- lwe lolu hlelo silinganise- lwa kuzigidigidi eziyisi- 5 703 zamarandi.",zu,human,0
"Phakathi kukaNtulikazi noMandulo kowezi-2021, abantu abayizi-9 556, iningi labo kwakungabesifazane, badlwengulwa. Lesi sibalo singaphezulu ngama-7% esikhathini sombiko owedlule.
Emacaleni okuhlasela alinganiselwa kwizi-73 000 abikwe ngalesi sikhathi, angaphezu kwezi-13 000 bekungamacala ahlobene nodlame lwasekhaya. Izinga lokubulawa kwezingane lenyuke ngokulinganiselwa kokuthathu uma kuqhathaniswa nesikhathi sombiko owedlule.
Sishilo phambilini ukuthi udlame olubhebhezelwa amadoda kwabesifazane lungubhubhane lwesibili izwe lethu okumele libhekane nalo, njengobhubhane lweCOVID-19 singalunqoba uma sonke sisebenza ngokubambisana.
Njengohulumeni, sinomsebenzi kanye nesibopho sokunikela ngezinsiza ezidingekayo ukulwa nobugebengu bodlame olubhekiswe kubulili obuthile.",zu,human,0
"Izigameko zesifo segciwane lecorona  (i-COVID -19) kulindeleke ukuthi ze-nyuke kulamaviki ezayo futhi uhulumeni umatasa usebenza engaphumuli ukuqinisekisa ukuthi umkhakha wezempilo usesimweni esilulungele lolu bhubhane.
“Besilokhu sithenga izinsiza zokuzivikela (ama-PPE) emhlabeni jikelele futhi siqhubeka nokweseka izinkampani zalapha ekhaya ukuba nazo zikwazi ukukhiqiza lezi zinsiza zokuzivikela,” kuqinisekisa uMo-ngameli u-Cyril Ramaphosa.“Besilokhu sikhuphula izinga lengqalasizinda ezibhedlela, sihlela kahle nezibhedlela zesikhashana futhi sithola imibhede ukwengeza imibhede yeziguli esezihaqwe igci-wane leCOVID-19 ,” engeza.Ekuqaleni kwenyanga kaNhla-ngulana, ingaphezulu kwezi-27 000 imibhede yezibhedlela zomphakathi esibekelwe iziguliesezihaqwe iCOVID-19 .",zu,human,0
"Sekungaphezu kweminyaka engamashumi amathathu, izwe lethu lazibandakanya emzuku-zukwini oqhubekayo wokulwa ne-HIV kanye ne-AIDS, oseku-dlule nemiphefumulo yabantu abaningi futhi kwadala ubunzi-ma ezimpilweni zabantu kanye nokuhlupheka.Selokhu kwabheduka iCO-VID-19 ezweni, okwaba noku-valwa kwezwe jikelele kanye nengcindezi kwizinsiza zethu zezempilo, ziningi izinsiza ze-HIV , ze-AIDS kanye nesifo sofuba ezikhinyabezekile. Lokhu kuphose inselele kubantu abahlo-layo kanye nabaqala imishanguzo yokudambisa igciwane.",zu,human,0
"Ngesikhathi kumenyezelwa isimo senhlekelele kazwelonke emavikini ayisithupha adlule, iNingizimu Afrika yayinezi-gameko ezingama-61 kuphela eziqinisekisiwe zabasuleleke ngegciwane lecorona . Nga-phandle kokubuka inani eliphansi, umbono wongoti kanye nesikubone kwamanye amazwe aphesheya kubonise ukuthi ukusuleleka kusazokhuphuka ngendlela eyisimanga. Ngabe sengithi kuzodingeka kutha-thwe izinyathelo ezinkulu futhi eziphuthumayo. Lezo zinyathelo – okubanda-kanya ukuvalwa kwezwe jikelele nokuvalwa kwemingcele – okubonise ukuthi kuyasebenza ngempela ukubambezela uku-bhebhetheka kwesifo. Lokhu kuyenzeka ngenxa yokuthi abantu abaningi baseNingizimu Afrika bayilandele imiyalelo yokuvalwa kwezwe, ukuqhelelana nabanye abantu kanye nokugqoka izifonyo zo-buso.",zu,human,0
"Umthetho Obhekelele U dlame Lwasekhaya uzi vikela ngokugcwele izisulu zodlame lwasekhaya.
Ukuhlukumeza kwe nzeka ngezindlela ezahlu kene futhi kubalulekile ukuthi abantu besifazane bazi izindlela ezahlukene zokuhlukumeza ukuze ba zivikele. Udlame lwasekhaya lwe nzeka uma umuntu ehle lwa yilokhu:Ukushaywa:  Isibonelo, uma ushaywa noma wesatshiswa ngodlame.
Ukuhlukunyezwa ngoko cansi: Uma isisulu sidlwe ngulwa noma siphoqwa ukuthi senze noma sibukele okuphathelene nocansi okwe hlisa isithunzi.
Ukuhlukumeza ngoko mphefumulo, ngamazwi kanye nangokomqondo: Lokhu kwenzeka uma umu ntu ehlale ethukwa, ejivazwa noma ebizwa ngamagama ajivazayo.
Ukuhlukumeza ngokupha thelene nomnotho:  Lokhu kungenzeka uma isisulu sivi njelwa ukuthi sithole iholo.",zu,human,0
"Lokhu kungukwenza ngcono ngama-25% onyakeni owedlule kanye nokunyuka ngama-15% onyakeni owedlule ngaphambi kobhubhane lwe-COVID-19.
Esikhathini esifanayo, ihhovisi lakwa-SARS liphinde lakhokha inani eliphezulu kakhulu lokubuyisela intela selokhu lasungulwa eminyakeni engama-25 eyadlula.
I-ejensi enekhono lokuqoqa intela ingummongo wokwakha umbuso okhonayo.
Ukuqoqwa kwentela kuqhuba ukuthuthukiswa kwesizwe sethu. Imali eqoqwe ngu-SARS ikhokhela izidingonqangi kanye nengqalasizinda.  Ngemali engango-R17.8 trillion eqoqwe ngu-SARS selokhu asungulwa ngowe1997, sikwazile ukwakha izingqalasizinda zomphakathi eziningi ezifana nemitholampilo, izikole nezibhedlela, salungisa futhi sakha imigwaqo emisha, saphinde seseka umphakathi obuthakathaka ngezibonelelo zikahulumeni kanye nezinye izinyathelo.",zu,human,0
